"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지 주소","모집시작일","모집종료일"
"11 ","하영호장학재단","장학생","기타","장학금","기타","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전학기 이수학점 14학점 이상 및 평점 2.0이상※ 직전학기 휴학이었던 경우 휴학 직전 학기의 이수학점 및 평점 평균 충족해야 함","○ 경제적 어려움이 있는 학생","○ 200만원/학기※ 결격사유 없는 한 졸업시까지 등록금 지원","○ 재단에서 요구하는 행사에 참석 가능한 학생(매달 1회 첫째주 토요일 봉사 등 진행)","해당없음","○ 학교 추천 후 장학회를 거쳐 최종 선발○ 학자금지원구간(소득분위) 및 성적기준으로 선발하며 기타(다자녀/대학생 자녀 2명 등) 요소 갖춘 경우 추가 점수 부여","※ 기관확인 필요","○ 기초수급 대상자 및 차상위계층은 제외○ 장학금 총합이 등록금 범위를 초과하지 않아야 함○ 타 교외장학금 수혜자○ 해당 장학금액의 50%미만 수혜금액이 남았을 경우 선정에서 제외※ 자세한 사항은 각 학교 장학부서 문의","○ 교수 추천","○ 자기소개서○ 장학금 신청서○ 성적증명서○ 교수추천서○ 개인정보 수집 제공 동의서○ 학자금지원구간※ 자세한 사항은 각 학교 장학부서 또는 하영호장학재단 문의","해당없음","2025-01-17","2025-01-19"
"12 ","청양사랑인재육성장학회","명문대입학장학금","지자체(출자출연기관)","장학금","지역연고","특정대학","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 명문대 입학한 자○ 수능합 7등급 이내인자","해당없음","○ 관내 중·고 졸업생: 1000만원○ 관내 고교 졸업생: 500만원","○ 군내 중학교와 고등학교를 졸업하고 명문대에 입학한 자  명문대 범위 : 서울대/고려대/연세대/카이스트/포항공대/치의한의대/수능합 7등급 이내인 자(고려대/ 연세대는 지방캠퍼스 제외)","○ 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","○ '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","○ 00명","○ 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단 신청접수 마감일까지 복학한 자는 예외로 한다)○ 다른 장학금과 중복될 경우 제한될 수 있음※ 자세한 사항은 첨부파일 혹은 홈페이지 공고 참고","해당없음","○ 장학금지원신청서○ 개인정보동의서○ 중학교 졸업증명서○ 고등학교 졸업증명서○ 재학증명서○ 주민등록초본(주소이력포함)※ 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2025-03-04","2025-03-31"
"13 ","청양사랑인재육성장학회","충남도립대입학장학금","지자체(출자출연기관)","장학금","지역연고","특정대학","대학신입생/연령제한","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 충남도립대학교 입학생","해당없음","○ 100만원 (생활비)","○ 관내 중학교와 고등학교를 졸업하고 충남도립대학교에 입학한 자","○ 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","○ '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","※ 기관확인 필요","○ 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단 신청접수 마감일까지 복학한 자는 예외로 한다)○ 다른 장학금과 중복될 경우 제한될 수 있음○ 공고일 현재 만 26세 이상인 자 제외","해당없음","○ 장학금지원신청서○ 개인정보동의서○ 중학교 졸업증명서○ 고등학교 졸업증명서○ 재학증명서○ 주민등록초본(주소이력포함)※ 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2025-03-04","2025-03-31"
"14 ","청양사랑인재육성장학회","성적우수장학금(대학교신입생)","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 군내 고등학교 1/2/3학년을 재학하고 졸업한자 중 직전학년 과목별 성적이 등급점수 4등급 이내인 자○ 고교학점제 시행의 경우 직전 학년 보통교과 상위성적 10% 이내이며 진로선택과목 성취도 평균 'B' 이상인 자","해당없음","○ 150만원 (등록금)","○ 군내 고등학교 1·2·3학년을 재학하고 졸업한 자○ 대학교 신입생","○ 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","○ '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","※ 기관확인 필요","○ 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단 신청접수 마감일까지 복학한 자는 예외로 한다)○ 다른 장학금과 중복될 경우 제한될 수 있음○ 기타 장학위원회 결정에 따른다","해당없음","○ 장학금지원신청서○ 개인정보동의서○ 고등학교 졸업증명서○ 군내 고등학교 재학증명서○ 재학증명서○ 성적증명서(직전학년)○ 주민등록초본(주소이력포함)※ 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2025-03-04","2025-03-31"
"15 ","청양사랑인재육성장학회","성적우수장학금(군내대학재학생)","지자체(출자출연기관)","장학금","지역연고","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전 학년 평점이 3.0 이상인자 (4.5점 만점기준)","해당없음","○ 150만원 (등록금)","○ 군내 대학 재학생○ 군내고교 1·2·3학년 모두 재학 후 졸업한 자","○ 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","○ '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","○ 00명","○ 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단 신청접수 마감일까지 복학한 자는 예외로 한다)○ 다른 장학금과 중복될 경우 제한될 수 있음○ 기타 장학위원회 결정에 따른다","해당없음","○ 장학금지원신청서○ 개인정보동의서○ 고등학교 졸업증명서○ 군내 고등학교 재학증명서○ 재학증명서○ 성적증명서(직전학년)○ 주민등록초본(주소이력포함)※ 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2025-03-04","2025-03-31"
"16 ","청양사랑인재육성장학회","성적우수장학금(군외대학재학생)","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전 학년 평점이 3.5 이상인자.(4.5점 만점기준)","해당없음","○ 150만원 (등록금)","○ 군내 고등학교 1·2·3학년 모두 재학 후 졸업한 자","○ 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","○ '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","※ 기관확인 필요","○ 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단 신청접수 마감일까지 복학한 자는 예외로 한다)○ 다른 장학금과 중복될 경우 제한될 수 있음○ 기타 장학위원회 결정에 따른다","해당없음","○ 장학금지원신청서○ 개인정보동의서○ 고등학교 졸업증명서○ 군내 고등학교 재학증명서○ 재학증명서○ 성적증명서(직전학년)○ 주민등록초본(주소이력포함)※ 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2025-03-04","2025-03-31"
"17 ","청양사랑인재육성장학회","예체능장학금","지자체(출자출연기관)","장학금","특기자","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전학년 예/체능부문 성적이 전국규모대회에서 3위 이상 입상한 자와 체육부문은 도 대회 1위 입상한 자","해당없음","○ 150만원 (생활비)","○ 군내 초· 중· 고·대학 재학생 및 군내 초등학교나 중학교 또는 고등학교를 졸업한 군외 중 ·고 ·대학생","○ 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","○ '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","※ 기관확인 필요","○ 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단 신청접수 마감일까지 복학한 자는 예외로 한다)○ 다른 장학금과 중복될 경우 제한될 수 있음○ 기타 장학위원회 결정에 따른다","해당없음","○ 장학금지원신청서○ 개인정보동의서○ 재학증명서○ 입상증명서류(직전학년)○ 주민등록초본(주소이력포함)○ 졸업증명서(군내 초·중·고 중 1개/ 군외 대학생 해당)※ 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2025-03-04","2025-03-31"
"18 ","봉평태기장학회","일반장학생","기타","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 대학교 재학생은 前학기 평균성적이 90점(백분율 환산점수) 이상○ 대학교 신입생은 수학능력점수 90점(백분율 환산점수) 이상","해당없음","○ 전문대 : 100만원○ 국·사립대 : 150만원 내외","○ 2023년 12월 02일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어 있는 대학교 재학생·신입생","○ 본적을 봉평면내에 두고 기준일 현재 주소가 봉평면내에 3년 이상 거주하고 있는 자○ 단 본적이 타 지역인 자는 5년 이상 거주","○ 예산범위내 성적순 선발. 장학이사회 심의 후 개별통보 예정"," ※ 기관확인 필요","○ 학자금 면제자 및 타장학금 일백만원 이상 수혜대상 확정자","해당없음","○ 장학생 지원서 (소정양식. 봉평면사무소 비치) (반명함사진)○ 성적증명서 (학교장발행)○ 장학금 미수혜확인서 (학교장 발행)○ 가족관계등록부/주민등록 등·초본 각 1부※ 봉평면사무소 총무과 제출※ 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고","https://www.pc.go.kr/","2023-12-02","2023-12-11"
"19 ","봉평태기장학회","향토장학생","기타","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 대학교 재학생은 前학기 성적이 85점(백분율 환산점수) 이상○ 대학교 신입생은 수학능력점수 85점(백분율 환산점수) 이상","○ 차상위계층·수급자 우선○ 가정형편이 어려운 학생※ 보호자의 재산세(재산세·도시계획세·소방공동시설세·지방교육세) 세액 10000원 미만 및 종합토지세 5000원 이하","○ 전문대 : 100만원○ 국·사립대 : 150만원 내외","○ 2022년 7월 30일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어 있는 대학교 재학생·신입생","○ 본적을 봉평면내에 두고 기준일 현재 주소가 봉평면내에 3년 이상 거주하고 있는 자○ 단 본적이 타 지역인 자는 5년 이상 거주","○ 예산범위내 성적순 선발. 장학이사회 심의후 개별통보예정"," ※ 기관확인 필요","○ 학자금 면제자○ 타장학금 100만원 이상 수혜대상 확정자","해당없음","○ 장학생 지원서 (소정양식. 봉평면사무소 비치) (반명함사진)○ 성적증명서(학교장발행)○ 장학금 (미)수혜 확인서 (학교장발행)○ 보호자의 지방세과세증명서○ 가족관계등록부/주민등록 등·초본 각 1부(주소이력 공개)※ 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고","http://www.pc.go.kr/","2023-12-02","2023-12-11"
"20 ","양양군인재육성장학회","특별장학생","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","○ 이사회에서 결정(지급년한 : 1년/생활비 명목 장학금)","○ 국내 대학에 진학 및 재학 중인 자자○ 품행이 방정하여 타에 모범이 되나 가정이 극히 빈곤하여 학업을 계속하기 어려운 자로서 이사회에서 특별이 인정하는 자","○ 공고일 현재 양양군에 주소를 두고 2년 이상 실제 거주한 주민 또는 그의 자녀","※ 기관확인 필요","○ 이사회에서 결정","○ 공무원·회사원 등 직업소유자○ 원격대학○ 평생교육법에 의한 학점은행제 교육원 및 전문학교○ 생활비를 지원 받는 특수대학※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학생 신청서 1부○ 재학증명서(신입생은 합격증명서) 1부○ 주민등록등본 (10년 이상 주소변동사항 포함) 1부  본인과 친권자의 주소가 상이할 경우 가족관계증명서 1부 추가○ 성적증명서 1부  (신입생) 고등학교 3학년 성적증명서  (재학생) 직전학년 성적증명서○ 고등학교 졸업증명서 1부○ 세목별 과세증명서 1부(부·모 모두 제출)○ 전/월세 계약서(해당자만 제출)1부○ 국민기초수급자 또는 차상위 계층 증명 등 기타 심사에 필요한 증빙서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고※ 접수처 : 양양군인재육성장학회 및 읍·면사무소/인터넷/이메일","http://www.yysc.or.kr","2025-01-20","2025-02-21"
"21 ","양양군인재육성장학회","우등장학생","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 신입생 : 고등학교 3학년 성적이 재적학년 정원의 100분의 30이내 또는 대학수학능력시험 3개영역 언어·수리·외국어 종합등급 3등급 이내인 자○ 재학생 : 직전학년 평점이 B학점 이상※ 단 서울대/연세대/고려대/카이스트대/포스텍대 학생은 C학점 이상인 자","해당없음","○ 이사회에서 결정(지급년한 : 1년/생활비 명목 장학금)","○ 국내 대학에 진학 및 재학 중인 자","○ 공고일 현재 양양군에 주소를 두고 2년 이상 실제 거주한 주민 또는 그의 자녀","※ 기관확인 필요","○ 이사회에서 결정","○ 원격대학○ 평생교육법에 의한 학점은행제 교육원 및 전문학교○ 생활비를 지원 받는 특수대학○ 공무원·회사원 등 직업소유자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학생 신청서 1부○ 재학증명서(신입생은 합격증명서) 1부○ 주민등록등본 (10년 이상 주소변동사항 포함) 1부  본인과 친권자의 주소가 상이할 경우 가족관계증명서 1부 추가○ 성적증명서 1부  (신입생) 고등학교 3학년 성적증명서  (재학생) 직전학년 성적증명서○ 고등학교 졸업증명서 1부○ 세목별 과세증명서 1부(부·모 모두 제출)○ 전/월세 계약서(해당자만 제출)1부○ 국민기초수급자 또는 차상위 계층 증명 등 기타 심사에 필요한 증빙서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고※ 접수처 : 양양군인재육성장학회 및 읍·면사무소/인터넷/이메일","http://www.yysc.or.kr","2025-01-20","2025-02-21"
"22 ","양양군인재육성장학회","유공및저소득층자녀장학생","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 신입생 : 고등학교 3학년 성적이 재적학년 정원의 100분의 30이내 또는 대학수학능력시험 3개영역 언어·수리·외국어 종합등급 3등급이내인 자○ 재학생 : 직전학년 평점 평균이 C학점 이상","○ 저소득층(기초생활수급자 및 차상위계층)의 자녀","○ 이사회에서 결정(지급년한 : 1년/생활비 명목 장학금)","○ 국가유공자 또는 저소득층(기초생활수급자 및 차상위계층)의 자녀○ 국내 대학에 진학 및 재학 중인 자","○ 공고일 현재 양양군에 주소를 두고 2년 이상 실제 거주한 주민 또는 그의 자녀","※ 기관확인 필요","○ 이사회에서 결정","○ 원격대학○ 평생교육법에 의한 학점은행제 교육원 및 전문학교○ 생활비를 지원 받는 특수대학○ 공무원·회사원 등 직업소유자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학생 신청서 1부○ 재학증명서(신입생은 합격증명서) 1부○ 주민등록등본 (10년 이상 주소변동사항 포함) 1부  본인과 친권자의 주소가 상이할 경우 가족관계증명서 1부 추가○ 성적증명서 1부  (신입생) 고등학교 3학년 성적증명서  (재학생) 직전학년 성적증명서○ 고등학교 졸업증명서 1부○ 세목별 과세증명서 1부(부·모 모두 제출)○ 전/월세 계약서(해당자만 제출)1부○ 국민기초수급자 또는 차상위 계층 증명 등 기타 심사에 필요한 증빙서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고※ 접수처 : 양양군인재육성장학회 및 읍·면사무소/인터넷/이메일","http://www.yysc.or.kr","2025-01-20","2025-02-21"
"23 ","양양군인재육성장학회","특기장학생","지자체(출자출연기관)","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","○ 이사회에서 결정(지급년한 : 1년/생활비 명목 장학금)","○ 국내 대학에 진학 및 재학 중인 자○ 예능·체육·기능에 소질과 재능이 뛰어난 학생으로 신청일 기준 1년 이내에 도 주관이상의 대회에서 입상하여 지역의 명예를 드높인 학생","○ 공고일 현재 양양군에 주소를 두고 2년 이상 실제 거주한 주민 또는 그의 자녀","※ 기관확인 필요","○ 이사회에서 결정","○ 공무원·회사원 등 직업소유자○ 원격대학○ 평생교육법에 의한 학점은행제 교육원 및 전문학교○ 생활비를 지원 받는 특수대학※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학생 신청서 1부○ 재학증명서(신입생은 합격증명서) 1부○ 주민등록등본 (10년 이상 주소변동사항 포함) 1부  본인과 친권자의 주소가 상이할 경우 가족관계증명서 1부 추가○ 성적증명서 1부  (신입생) 고등학교 3학년 성적증명서  (재학생) 직전학년 성적증명서○ 고등학교 졸업증명서 1부○ 입상 증명서 1부○ 세목별 과세증명서 1부(부·모 모두 제출)○ 전/월세 계약서(해당자만 제출)1부○ 국민기초수급자 또는 차상위 계층 증명 등 기타 심사에 필요한 증빙서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고※ 접수처 : 양양군인재육성장학회 및 읍·면사무소/인터넷/이메일","http://www.yysc.or.kr","2025-01-20","2025-02-21"
"24 ","백암재단","주거지원장학생","기타","장학금","기타","4년제(5~6년제포함)/특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","○ 본인의 총자산과 자동차 가액 기준을 충족하는 사람","○ 보증금 및 임대료 없이 무상 지원 (공과금 및 관리비는 본인 부담)","○ 주거지원으로 인해 주거 및 통학 부담을 덜고 자기 변화와 성장에 집중하는 사람○ 책임감과 공동체성이 뛰어나고 타의 모범이 되며 훗날 사회에 기여하고자 하는 사람○ 공고일 현재 무주택자인 미혼의 청년(만 19세~39세)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","※가관 문의","※가관 문의","○ 휴학생·졸업생 지원 불가○ 장학생 선정 후 필수 참여활동 존재함※ 자세한 사항은 첨부파일 또는는 홈페이지 참고","해당없음","○ 홈페이지에서 신청 서류를 다운받아 작성 후 메일로 제출○ 합격자에 한해 자격검증을 위한 서류를 추후 제출받음※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https:/baekam.org","2024-12-16","2025-01-02"
"25 ","동해시민장학회","일반장학생","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","해당없음","○ 70만원","○ 2025년 동해시 소재 고등학교 졸업자 (2024년 고교 3학년)","해당없음","※ 기관확인 필요","○ 732명○ 학교별 선발 인원이 나뉘어져 있으므로 첨부파일 또는 홈페이지 참고 요망","○ 검정고시 합격자/학교 밖 청소년 등은 별도 수시 선발","해당없음","○ 동해시민장학재단 홈페이지 (http://www.dhcitizen.or.kr) 온라인 신청","https://www.dhcitizen.or.kr/","2025-01-13","2025-02-28"
"26 ","함경북도장학회","장학생","기타","장학금","지역연고","4년제(5~6년제포함)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","※ 기관확인 필요","○ 2025년 기준 국내 4년제 대학교 24학년 진학 예정자","○ 원적이 함경북도인 자의 자녀(손자녀 포함)","○ 1차 서류○ 2차 면접○ 접수처: 서울시 종로구 새문안로 3길 36. 838호 재단법인 함경북도 장학회","○ 00명","※ 기관확인 필요","해당없음","○ 장학금 지급 신청서 (법인소정양식)(최근명함판사진 1매 부착)○ 재학증명서 (당해 월 발행)○ 성적증명서 (전 학년)○ 가족관계증록부 (기본증명서 또는 제적등본 첨부로 원적이 함경북도확인)○ 주민등록등본※ 서류는 직접 또는 우편접수 가능※ 자세한 사항은 첨부파일 참조","해당없음","2025-01-20","2025-01-24"
"27 ","진주강씨중앙장학회","장학생","기타","장학금","기타","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 학업성적 3.5 이상","○ 가정사정이 어려워 학비 조달이 곤란한 자","○ 연 200만원","○ 4년제 대학에 재학하고 있는 자로써 학업성적이 우수하고 품행이 방정한 자○ 종사에 기여한 자의 직계손","해당없음","※ 기관확인 필요","○ 20명","○ 2025학년도 신입생 제외","해당없음","○ 장학생 지원서 (소정양식)○ 재학증명서○ 성적증명서○ 가족관계증명서(현재)○ 제산세납부증명서·의료보험 납부증명서·소득금액증명서(3개 중 1선택)※ 자세한 사항은 홈페이지 참고. 지원양식 홈페이지 다운로드","http://www.jinjukang.org","2024-11-22","2025-01-20"
"28 ","(재)한국로타리장학문화재단","장학생","기타","장학금","성적우수","4년제(5~6년제포함)/일반대학원/전문대(2~3년제)/전문대학원","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생/박사과정/석사2학기이상/석사신입생(1학기)","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","※ 기관확인 필요※ 자세한 사항은 기관 홈페이지 공고 참고","○ 대학(원)생 : 국내외 학교/내외국인 학생 모두 가능※ 자세한 사항은 기관 홈페이지 공고 참고","해당없음","※ 기관확인 필요※ 자세한 사항은 기관 홈페이지 공고 참고","※ 기관확인 필요※ 자세한 사항은 기관 홈페이지 공고 참고","○ 타 장학금 수혜자가 아닌 학생 (학업지원비로 신청할 경우 중복지원 가능/즉 생활비)","○ 클럽의 장학위원장(회장) 또는 학생의 지도교수 또는 기관 등 추천서○ 관명장학생은 관명인 추천서로 갈음함","○ 신규장학생  재학증명서(2025년1월 이후)  추천서  자기소개서  수혜학생 또는 클럽 명의의 통장사본  개인정보 활용동의서○ 계속장학생  재학증명서(2025년1월 이후)  수혜학생 또는 클럽 명의의 통장사본※ 홈페이지(장학관리시스템)을 통해 온라인 신청(이메일·팩스·우편신청 불가)※ 자세한 사항은 첨부파일 및 기관 홈페이지 공고 참고","http://www.rotarykorea.org","2025-02-03","2025-04-30"
